energy (eV)	irradiance (eV s^-1 cm^-2 Hz^-1)
1.81396047452    1083.88642927
1.81409318067    1084.97741045
1.81422590625    1085.93942596
1.81435865125    1086.71741833
1.81449141568    1087.36657414
1.81462419953    1087.92367854
1.81475700283    1088.44386165
1.81488982556    1088.96385754
1.81502266774    1089.48366621
1.81515552936    1090.0032877
1.81528841044    1090.54106806
1.81542131098    1091.09701868
1.81555423097    1091.70779343
1.81568717044    1092.33671161
1.81582012937    1093.00208107
1.81595310777    1093.70390513
1.81608610566    1094.38714882
1.81621912302    1095.0884941
1.81635215988    1095.77126444
1.81648521622    1096.41714605
1.81661829206    1096.95285892
1.8167513874    1097.32347281
1.81688450225    1097.47411879
1.8170176366    1097.38656297
1.81715079046    1097.13417294
1.81728396384    1096.80857909
1.81741715675    1096.44642947
1.81755036917    1096.06604059
1.81768360113    1095.70403529
1.81781685262    1095.3421008
1.81795012365    1095.01682182
1.81808341423    1094.72820162
1.81821672435    1094.51280775
1.81835005402    1094.33401036
1.81848340324    1094.19181272
1.81861677203    1094.06790043
1.81875016038    1093.96227512
1.8188835683    1093.83836223
1.81901699579    1093.69616981
1.81915044286    1093.49916946
1.81928390951    1093.17429413
1.81941739575    1092.64852932
1.81955090157    1091.86715396
1.81968442699    1090.88509178
1.81981797201    1089.77545049
1.81995153663    1088.6113336
1.82008512086    1087.44752324
1.8202187247    1086.30226615
1.82035234816    1085.17556395
1.82048599124    1084.17688608
1.82061965394    1083.43388615
1.82075333627    1083.03765126
1.82088703823    1083.02452448
1.82102075983    1083.32137556
1.82115450108    1083.782205
1.82128826196    1084.2975594
1.8214220425    1084.84919198
1.8215558427    1085.40061775
1.82168966255    1085.95184638
1.82182350207    1086.53931684
1.82195736125    1087.16302273
1.82209124011    1087.82292873
1.82222513864    1088.55546098
1.82235905686    1089.32416022
1.82249299476    1090.11079949
1.82262695234    1090.89718184
1.82276092963    1091.68329767
1.82289492661    1092.46913737
1.82302894329    1093.20012925
1.82316297968    1093.83990237
1.82329703578    1094.27935665
1.8234311116    1094.48219603
1.82356520714    1094.46672399
1.8236993224    1094.32393245
1.82383345739    1094.09025551
1.82396761211    1093.8566118
1.82410178657    1093.60482252
1.82423598077    1093.37123833
1.82437019472    1093.15587043
1.82450442842    1093.04951662
1.82463868187    1093.05215762
1.82477295508    1093.23635899
1.82490724806    1093.52943756
1.8250415608    1093.93131641
1.82517589332    1094.35119883
1.82531024561    1094.78907682
1.82544461769    1095.20863824
1.82557900954    1095.59175135
1.82571342119    1095.8658645
1.82584785264    1095.94031516
1.82598230388    1095.65196709
1.82611677492    1095.01911926
1.82625126577    1094.07816719
1.82638577643    1092.99242816
1.82652030691    1091.8344698
1.82665485721    1090.65868901
1.82678942733    1089.50134447
1.82692401729    1088.38054122
1.82705862707    1087.38684409
1.8271932567    1086.64698002
1.82732790616    1086.23330513
1.82746257548    1086.18186094
1.82759726464    1086.36576991
1.82773197366    1086.69440422
1.82786670254    1087.07720864
1.82800145128    1087.45986477
1.82813621989    1087.82428354
1.82827100838    1088.13427144
1.82840581674    1088.28134045
1.82854064498    1088.12085657
1.82867549312    1087.59871103
1.82881036114    1086.7331396
1.82894524905    1085.61467883
1.82908015687    1084.38807095
1.82921508459    1083.12563491
1.82935003221    1081.84547088
1.82948499975    1080.58371166
1.82961998721    1079.37648783
1.82975499459    1078.31408948
1.82989002189    1077.48674381
1.83002506912    1076.93046947
1.83016013629    1076.6270783
1.8302952234    1076.46816069
1.83043033045    1076.38144896
1.83056545745    1076.29473721
1.8307006044    1076.24409274
1.83083577131    1076.19342803
1.83097095818    1076.23294682
1.83110616502    1076.41669095
1.83124139182    1076.85282046
1.8313766386    1077.54121397
1.83151190536    1078.44569564
1.8316471921    1079.45803176
1.83178249883    1080.54212111
1.83191782555    1081.62586432
1.83205317227    1082.7272542
1.83218853899    1083.81028355
1.83232392571    1084.85692532
1.83245933244    1085.88520888
1.83259475919    1086.85913993
1.83273020596    1087.77873292
1.83286567275    1088.66201722
1.83300115957    1089.50900882
1.83313666642    1090.3557143
1.8332721933    1091.18413631
1.83340774023    1092.01227759
1.8335433072    1092.80416356
1.83367889423    1093.48787163
1.8338145013    1094.00948946
1.83395012844    1094.29719062
1.83408577564    1094.35105031
1.83422144291    1094.26107559
1.83435713024    1094.09919667
1.83449283766    1093.90139233
1.83462856516    1093.68563982
1.83476431274    1093.46991524
1.83490008041    1093.20034118
1.83503586817    1092.84101595
1.83517167604    1092.28423752
1.83530750401    1091.51215509
1.83544335208    1090.54280015
1.83557922027    1089.46601176
1.83571510858    1088.31772726
1.835851017    1087.1518001
1.83598694555    1086.00412662
1.83612289423    1084.89263088
1.83625886305    1083.88903349
1.83639485201    1083.17261097
1.83653086111    1082.85081831
1.83666689035    1083.03103726
1.83680293975    1083.58757537
1.83693900931    1084.37688894
1.83707509903    1085.25552875
1.83721120891    1086.15178331
1.83734733896    1087.04774601
1.83748348919    1087.90757741
1.8376196596    1088.64176975
1.83775585019    1089.12502051
1.83789206097    1089.267944
1.83802829195    1089.03488274
1.83816454312    1088.5333858
1.83830081449    1087.87094799
1.83843710607    1087.15499098
1.83857341786    1086.40344184
1.83870974986    1085.6699519
1.83884610209    1084.93665314
1.83898247454    1084.23929819
1.83911886721    1083.61362794
1.83925528012    1083.04173952
1.83939171327    1082.55935527
1.83952816666    1082.1128193
1.8396646403    1081.7021157
1.83980113419    1081.30936811
1.83993764834    1080.89883413
1.84007418274    1080.48838628
1.84021073741    1080.06016263
1.84034731235    1079.54276236
1.84048390757    1078.88265536
1.84062052306    1078.06206069
1.84075715883    1077.09889174
1.8408938149    1076.02890945
1.84103049125    1074.90569008
1.8411671879    1073.78275925
1.84130390485    1072.66012637
1.84144064211    1071.53780084
1.84157739968    1070.45142517
1.84171417756    1069.40100231
1.84185097576    1068.45780853
1.84198779428    1067.62179614
1.84212463314    1066.87510206
1.84226149232    1066.18205163
1.84239837184    1065.50699135
1.84253527171    1064.83208695
1.84267219192    1064.17517151
1.84280913248    1063.53620879
1.8429460934    1062.95082757
1.84308307467    1062.49019152
1.84322007631    1062.20765597
1.84335709832    1062.10314156
1.84349414071    1062.12317382
1.84363120347    1062.24992033
1.84376828661    1062.39438698
1.84390539014    1062.53877544
1.84404251407    1062.70086407
1.84417965838    1062.82730839
1.8443168231    1062.93590677
1.84445400823    1062.9555478
1.84459121376    1062.88628997
1.84472843971    1062.71039841
1.84486568608    1062.48120819
1.84500295288    1062.19876192
1.8451402401    1061.89860721
1.84527754775    1061.61626113
1.84541487584    1061.35171573
1.84555222437    1061.12273117
1.84568959335    1061.05354627
1.84582698278    1061.23283786
1.84596439266    1061.74922055
1.84610182301    1062.53157949
1.84623927382    1063.5265688
1.8463767451    1064.6099218
1.84651423685    1065.71064757
1.84665174908    1066.82874761
1.84678928179    1067.92875363
1.84692683499    1069.01065482
1.84706440869    1070.00357822
1.84720200288    1070.87210952
1.84733961757    1071.56314998
1.84747725277    1072.14762808
1.84761490847    1072.62561951
1.8477525847    1073.08571637
1.84789028144    1073.54564037
1.84802799871    1073.98768039
1.8481657365    1074.46496049
1.84830349483    1074.95976836
1.8484412737    1075.54289022
1.84857907311    1076.2496783
1.84871689306    1077.0800772
1.84885473357    1077.99865034
1.84899259463    1078.98765616
1.84913047626    1079.99403042
1.84926837845    1081.01774653
1.84940630121    1082.0234365
1.84954424455    1083.01111763
1.84968220846    1083.89241924
1.84982019296    1084.64970267
1.84995819805    1085.17702492
1.85009622373    1085.49213234
1.85023427001    1085.64812662
1.85037233689    1085.71573473
1.85051042438    1085.7656134
1.85064853248    1085.79779859
1.85078666119    1085.82992854
1.85092481053    1085.89731475
1.85106298049    1085.99995075
1.85120117108    1086.20839457
1.85133938231    1086.54024664
1.85147761417    1086.9954423
1.85161586668    1087.50339335
1.85175413984    1088.06405744
1.85189243365    1088.64215498
1.85203074812    1089.22004341
1.85216908326    1089.78009075
1.85230743906    1090.30468487
1.85244581553    1090.74097997
1.85258421267    1091.03614321
1.8527226305    1091.13738264
1.85286106902    1091.09764174
1.85299952822    1090.95220679
1.85313800812    1090.77155159
1.85327650872    1090.57331219
1.85341503002    1090.37509551
1.85355357203    1090.14169947
1.85369213476    1089.87313054
1.8538307182    1089.44624808
1.85396932237    1088.84350669
1.85410794726    1088.01223703
1.85424659288    1087.00529136
1.85438525925    1085.91067015
1.85452394635    1084.74601873
1.8546626542    1083.59925461
1.8548013828    1082.43522445
1.85494013215    1081.27149687
1.85507890227    1080.09052301
1.85521769315    1078.90985694
1.8553565048    1077.72950791
1.85549533722    1076.51434747
1.85563419042    1075.2819483
1.85577306441    1074.06744545
1.85591195918    1072.83570905
1.85605087475    1071.60431458
1.85618981111    1070.40834559
1.85632876828    1069.28290173
1.85646774625    1068.36830872
1.85660674503    1067.83992245
